commit	agg_ms	tests	status	description
exp82	10.468	pass	keep	exp82: cffi counting rank for int arrays — bypass argsort (rank_100K: 0.396->0.252ms 1.57x)
exp83	10.46	pass	keep	exp83: native int64 counting argsort — skip int32 cast (grade_up_100K: ~0.320->0.308ms)
exp84	10.47	pass	keep	exp84: cffi counting argsort u16 for bucket sort phase (grade_up_1M: ~3.58->3.55ms marginal)
exp85	10.384	pass	keep	exp85: cffi linear scan for EWMA/affine recurrences (ewma_10K: 0.061->0.016ms 3.8x)
exp85b	10.40	pass	keep	exp85b: cffi linear scan for bare x/y + scan reorder (scan_compound_10K: 0.033->0.020ms)
exp86	10.12	pass	keep	exp86: cffi fused reduce for */expr (compound_ret_100K: 0.146->0.017ms 8.6x)
exp87	10.12	pass	keep	exp87: extend cffi fused reduce to identity reduces (sum_1M: 0.196->0.131ms 33%)
exp88	10.56	pass	keep	exp88: cffi fused reduce for 2-var + v1 remapping (vwap_100K: 0.042->0.035ms)
exp89	10.23	pass	keep	exp89: add comparison ops to C converter + generic_visit safety
exp90	10.36	pass	keep	exp90: fused running_max/min + expression — single-pass C loops for drawdown patterns (max_drawdown: 0.161->0.130ms 19%)
exp91	10.09	pass	keep	exp91: parallel propagation in cumsum + running_sum_1M: 0.508->0.495ms
exp92	9.72	pass	keep	exp92: cffi branchless filter/where — bypass branch misprediction (filter_index: 0.664->0.369ms 44%, where: 0.521->0.442ms 15%)
